,vwap
2023-01-03 09:00:00,40383.772717468426
2023-01-03 10:00:00,40463.9098100871
2023-01-03 11:00:00,40446.799106316976
2023-01-03 13:00:00,40566.58751958706
2023-01-03 14:00:00,40636.578010702535
2023-01-03 15:00:00,40628.36156498276
2023-01-03 21:00:00,40721.40181307187
2023-01-03 22:00:00,40738.189261212225
2023-01-03 23:00:00,40633.13660618997
2023-01-04 09:00:00,40510.51962606604
2023-01-04 10:00:00,40515.509383580626
2023-01-04 11:00:00,40241.38039833616
2023-01-04 13:00:00,40225.86279925523
2023-01-04 14:00:00,40218.26603311325
2023-01-04 15:00:00,40267.75254109675
2023-01-04 21:00:00,40056.41689726545
2023-01-04 22:00:00,40041.31875681407
2023-01-04 23:00:00,39990.69851052902
2023-01-05 09:00:00,39906.456518508356
2023-01-05 10:00:00,40071.51644232408
2023-01-05 11:00:00,39917.94664751195
2023-01-05 13:00:00,39987.99768929968
2023-01-05 14:00:00,40162.3736940067
2023-01-05 15:00:00,40165.90600851601
2023-01-05 21:00:00,40403.412658782836
2023-01-05 22:00:00,40318.00551176436
2023-01-05 23:00:00,40323.42113276492
2023-01-06 09:00:00,40531.12853245934
2023-01-06 10:00:00,40778.15437075316
2023-01-06 11:00:00,41017.953770384345
2023-01-06 13:00:00,41025.29371347567
2023-01-06 14:00:00,41067.14274071437
2023-01-06 15:00:00,41040.98640386896
2023-01-06 21:00:00,41064.17775575048
2023-01-06 22:00:00,41077.65677576543
2023-01-06 23:00:00,40834.19706966815
2023-01-09 09:00:00,40979.60707518314
2023-01-09 10:00:00,40970.59522785529
2023-01-09 11:00:00,40828.38608726042
2023-01-09 13:00:00,40948.91633986928
2023-01-09 14:00:00,40889.161184982215
2023-01-09 15:00:00,40915.318559556785
2023-01-09 21:00:00,41046.87807393898
2023-01-09 22:00:00,41014.55573523306
2023-01-09 23:00:00,41069.795967354774
2023-01-10 09:00:00,40958.82390262405
2023-01-10 10:00:00,40986.62447170607
2023-01-10 11:00:00,41163.009260275976
2023-01-10 13:00:00,41171.071317040965
2023-01-10 14:00:00,41259.49030783116
2023-01-10 15:00:00,41239.01450353291
2023-01-10 21:00:00,41125.11659426309
2023-01-10 22:00:00,41125.45189087824
2023-01-10 23:00:00,41144.69987750102
2023-01-11 09:00:00,41330.44301826569
2023-01-11 10:00:00,41395.814717597605
2023-01-11 11:00:00,41503.52447514524
2023-01-11 13:00:00,41563.60522957261
2023-01-11 14:00:00,41627.23210074387
2023-01-11 15:00:00,41614.34599813142
2023-01-11 21:00:00,41474.933117609085
2023-01-11 22:00:00,41153.116869905774
2023-01-11 23:00:00,41080.92102625777
2023-01-12 09:00:00,41192.212770415375
2023-01-12 10:00:00,41177.31397901927
2023-01-12 11:00:00,41121.584379626074
2023-01-12 13:00:00,41362.71596289985
2023-01-12 14:00:00,41386.94657361041
2023-01-12 15:00:00,41381.985074626864
2023-01-12 21:00:00,41462.68010001749
2023-01-12 22:00:00,41264.7762637028
2023-01-12 23:00:00,41286.71573000297
2023-01-13 09:00:00,41543.9002068556
2023-01-13 10:00:00,41656.60516838314
2023-01-13 11:00:00,41671.63512068083
2023-01-13 13:00:00,41793.62409905747
2023-01-13 14:00:00,41775.75536764992
2023-01-13 15:00:00,41728.92780862879
2023-01-13 21:00:00,41315.00402252615
2023-01-13 22:00:00,41372.822978007454
2023-01-13 23:00:00,41411.82261340555
2023-01-16 09:00:00,41049.06572503521
2023-01-16 10:00:00,41000.310119290945
2023-01-16 11:00:00,40907.823447812014
2023-01-16 13:00:00,40907.36130074957
2023-01-16 14:00:00,40926.65457593216
2023-01-16 15:00:00,40939.70510948905
2023-01-16 21:00:00,40766.159281887325
2023-01-16 22:00:00,40774.87012819076
2023-01-16 23:00:00,40854.13727560718
2023-01-17 09:00:00,41073.11749373946
2023-01-17 10:00:00,41126.63732860395
2023-01-17 11:00:00,41156.0787725739
2023-01-17 13:00:00,41316.67684433333
2023-01-17 14:00:00,41264.41198570255
2023-01-17 15:00:00,41180.00967898048
2023-01-17 21:00:00,41401.218677677694
2023-01-17 22:00:00,41617.49602907063
2023-01-17 23:00:00,41638.13603818616
2023-01-18 09:00:00,41627.902611055295
2023-01-18 10:00:00,41560.27086647577
2023-01-18 11:00:00,41519.21678793157
2023-01-18 13:00:00,41589.25458032938
2023-01-18 14:00:00,41618.494085330734
2023-01-18 15:00:00,41612.56540473992
2023-01-18 21:00:00,41755.737210519736
2023-01-18 22:00:00,41820.777420711194
2023-01-18 23:00:00,41728.512414383564
2023-01-19 09:00:00,41659.89201125068
2023-01-19 10:00:00,41777.076077361366
2023-01-19 11:00:00,41825.99204525013
2023-01-19 13:00:00,41869.06114827084
2023-01-19 14:00:00,41950.779892035134
2023-01-19 15:00:00,41937.55364806867
2023-01-19 21:00:00,41824.20057364926
2023-01-19 22:00:00,41656.13833576037
2023-01-19 23:00:00,41662.09116990755
2023-01-20 09:00:00,41847.09288646375
2023-01-20 10:00:00,41834.43955685891
2023-01-20 11:00:00,41764.375888590075
2023-01-20 13:00:00,41762.68989401264
2023-01-20 14:00:00,41743.17861299891
2023-01-20 15:00:00,41784.21646073864
2023-01-30 09:00:00,42578.27780897703
2023-01-30 10:00:00,42465.68424641233
2023-01-30 11:00:00,42202.0912912441
2023-01-30 13:00:00,42102.56805518946
2023-01-30 14:00:00,41980.38104429033
2023-01-30 15:00:00,42027.37946428572
2023-01-30 21:00:00,42080.208722723066
2023-01-30 22:00:00,42079.59013724705
2023-01-30 23:00:00,42112.28509511197
2023-01-31 09:00:00,41903.4379783318
2023-01-31 10:00:00,41949.59524043111
2023-01-31 11:00:00,41729.983832836406
2023-01-31 13:00:00,41615.055771510815
2023-01-31 14:00:00,41559.618637773405
2023-01-31 15:00:00,41424.594103916315
2023-01-31 21:00:00,41326.38118634264
2023-01-31 22:00:00,41455.58853032704
2023-01-31 23:00:00,41540.06008583691
2023-02-01 09:00:00,41639.38473614298
2023-02-01 10:00:00,41343.4454504836
2023-02-01 11:00:00,41156.01837273025
2023-02-01 13:00:00,41075.55409019306
2023-02-01 14:00:00,40917.23926279097
2023-02-01 15:00:00,40870.48674758484
2023-02-01 21:00:00,40959.93229283468
2023-02-01 22:00:00,40885.33746594154
2023-02-01 23:00:00,40938.89449090015
2023-02-02 09:00:00,41115.923593189735
2023-02-02 10:00:00,41227.042524558405
2023-02-02 11:00:00,41221.36679373785
2023-02-02 13:00:00,41067.60510642192
2023-02-02 14:00:00,40580.58167193399
2023-02-02 15:00:00,40433.19819193324
2023-02-02 21:00:00,40474.71672664108
2023-02-02 22:00:00,40457.193137102804
2023-02-02 23:00:00,40356.50167529698
2023-02-03 09:00:00,40233.610387040426
2023-02-03 10:00:00,40044.51162410103
2023-02-03 11:00:00,40281.85672987559
2023-02-03 13:00:00,40383.1554842014
2023-02-03 14:00:00,40481.330459471625
2023-02-03 15:00:00,40538.19029643611
2023-02-03 21:00:00,40447.301036180565
2023-02-03 22:00:00,40682.00807190738
2023-02-03 23:00:00,40712.22555696641
2023-02-06 09:00:00,40307.37414915301
2023-02-06 10:00:00,40117.9264312409
2023-02-06 11:00:00,40069.228004637385
2023-02-06 13:00:00,40184.390224660994
2023-02-06 14:00:00,40403.07024401604
2023-02-06 15:00:00,40503.476153761425
2023-02-06 21:00:00,40461.86768684525
2023-02-06 22:00:00,40321.489602907146
2023-02-06 23:00:00,40102.34209797952
2023-02-07 09:00:00,40091.40313498131
2023-02-07 10:00:00,40214.953992784176
2023-02-07 11:00:00,40096.0616932657
2023-02-07 13:00:00,39888.780724813296
2023-02-07 14:00:00,40218.1703655854
2023-02-07 15:00:00,40196.07914011224
2023-02-07 21:00:00,40025.11568049234
2023-02-07 22:00:00,39929.205488102416
2023-02-07 23:00:00,39912.412484183886
2023-02-08 09:00:00,40079.70672245059
2023-02-08 10:00:00,40341.1429903154
2023-02-08 11:00:00,40346.00894970654
2023-02-08 13:00:00,40374.87327940674
2023-02-08 14:00:00,40529.46645418675
2023-02-08 15:00:00,40562.7934365489
2023-02-08 21:00:00,40607.680768355494
2023-02-08 22:00:00,40563.68109549947
2023-02-08 23:00:00,40533.17595752749
2023-02-09 09:00:00,40727.212149275205
2023-02-09 10:00:00,40924.099765789084
2023-02-09 11:00:00,40821.606260116365
