,0
16821,1
16822,1
16823,1
16824,1
16825,1
16826,1
16827,1
16828,0
16829,1
16830,1
16831,1
16832,1
16833,1
16834,0
16835,1
16836,1
16837,1
16838,1
16839,1
16840,0
16841,0
16842,-1
16843,0
16844,1
16845,1
16846,1
16847,1
16848,1
16849,0
16850,-1
16851,-1
16852,-1
16853,-1
16854,-1
16855,-1
16856,-1
16857,0
16858,1
16859,0
16860,0
16861,1
16862,0
16863,0
16864,1
16865,1
16866,1
16867,1
16868,1
16869,1
16870,1
16871,1
16872,1
16873,1
16874,1
16875,0
16876,1
16877,1
16878,1
16879,1
16880,1
16881,-1
16882,-1
16883,-1
16884,-1
16885,-1
16886,0
16887,1
16888,1
16889,1
16890,0
16891,-1
16892,-1
16893,0
16894,-1
16895,-1
16896,-1
16897,-1
16898,-1
16899,-1
16900,-1
16901,-1
16902,-1
16903,1
16904,1
16905,1
16906,0
16907,1
16908,0
16909,1
16910,1
16911,1
16912,1
16913,1
16914,1
16915,1
16916,1
16917,0
16918,-1
16919,-1
16920,-1
16921,-1
16922,0
16923,1
16924,0
16925,0
16926,0
16927,0
16928,0
16929,1
16930,1
16931,1
16932,1
16933,0
16934,-1
16935,-1
16936,-1
16937,-1
16938,0
16939,1
16940,1
16941,0
16942,0
16943,-1
16944,-1
16945,0
16946,-1
16947,-1
16948,0
16949,-1
16950,-1
16951,1
16952,1
16953,1
16954,1
16955,1
16956,1
16957,1
16958,-1
16959,-1
16960,-1
16961,-1
16962,-1
16963,-1
16964,1
16965,1
16966,-1
16967,1
16968,0
16969,-1
16970,-1
16971,1
16972,1
16973,0
16974,0
16975,1
16976,1
16977,0
16978,1
16979,1
16980,1
16981,1
16982,1
16983,1
16984,1
16985,1
16986,1
16987,1
16988,1
16989,1
16990,1
16991,1
16992,1
16993,1
16994,1
16995,1
16996,1
16997,1
16998,1
16999,1
17000,1
17001,0
17002,-1
17003,-1
17004,-1
17005,-1
17006,-1
17007,-1
17008,-1
17009,-1
17010,0
17011,1
17012,1
17013,1
17014,1
17015,1
17016,1
17017,1
17018,1
17019,1
17020,1
17021,1
17022,-1
17023,-1
17024,-1
17025,-1
17026,-1
17027,-1
17028,-1
17029,-1
17030,0
17031,1
17032,0
17033,-1
17034,-1
17035,-1
17036,-1
17037,-1
17038,-1
17039,-1
17040,-1
17041,-1
17042,-1
17043,-1
17044,-1
17045,0
17046,1
17047,1
17048,1
17049,1
17050,1
17051,1
17052,1
17053,-1
17054,-1
17055,-1
17056,-1
17057,-1
17058,-1
17059,-1
17060,-1
17061,-1
17062,0
17063,-1
17064,0
17065,1
17066,1
17067,1
17068,1
17069,1
17070,1
17071,1
17072,1
17073,1
17074,0
17075,-1
17076,0
17077,-1
17078,0
17079,1
17080,1
17081,1
17082,1
17083,0
17084,0
17085,-1
17086,-1
17087,-1
17088,-1
17089,-1
17090,-1
17091,-1
17092,0
17093,1
17094,1
17095,1
17096,1
17097,1
17098,-1
17099,-1
17100,-1
17101,-1
17102,-1
17103,-1
17104,-1
17105,-1
17106,-1
17107,0
17108,-1
17109,-1
17110,0
17111,-1
17112,-1
17113,-1
17114,0
17115,0
17116,1
17117,1
17118,1
17119,1
17120,1
17121,1
17122,1
17123,1
17124,1
17125,1
17126,1
17127,1
17128,1
17129,1
17130,1
17131,0
17132,1
17133,1
17134,1
17135,1
17136,1
17137,1
17138,1
17139,0
17140,-1
17141,0
17142,0
17143,1
17144,1
17145,1
17146,1
17147,1
17148,1
17149,1
17150,1
17151,0
17152,0
17153,1
17154,1
17155,-1
17156,-1
17157,-1
17158,-1
17159,-1
17160,0
17161,1
17162,1
17163,1
17164,1
17165,1
17166,1
17167,1
17168,1
17169,0
17170,-1
17171,-1
17172,-1
17173,-1
17174,-1
17175,1
17176,1
17177,0
17178,-1
17179,-1
17180,-1
17181,-1
17182,-1
17183,-1
17184,0
17185,-1
17186,-1
17187,-1
17188,-1
17189,-1
17190,-1
17191,-1
17192,-1
17193,1
17194,0
17195,1
17196,1
17197,1
17198,0
17199,1
17200,0
17201,0
17202,-1
17203,1
17204,0
17205,1
17206,1
17207,-1
17208,-1
17209,-1
17210,-1
17211,-1
17212,-1
17213,-1
17214,-1
17215,-1
17216,-1
17217,-1
17218,-1
17219,1
17220,1
17221,1
17222,0
17223,1
17224,-1
17225,-1
17226,0
17227,1
17228,1
17229,1
17230,1
17231,1
17232,1
17233,1
17234,1
17235,0
17236,-1
17237,0
17238,0
17239,0
17240,0
17241,0
17242,1
17243,1
17244,1
17245,1
17246,1
17247,1
17248,0
17249,1
17250,0
17251,-1
17252,0
17253,1
17254,0
17255,0
17256,0
17257,-1
17258,0
17259,0
17260,1
17261,1
17262,1
17263,1
17264,1
17265,0
17266,0
17267,-1
17268,-1
17269,-1
17270,-1
17271,-1
17272,0
17273,0
17274,1
17275,1
17276,1
17277,1
17278,1
17279,1
17280,1
17281,0
17282,-1
17283,-1
17284,-1
17285,-1
17286,-1
17287,1
17288,1
17289,1
17290,1
17291,1
17292,1
17293,1
17294,1
17295,1
17296,1
17297,1
17298,1
17299,1
17300,1
17301,1
17302,1
17303,0
17304,0
17305,0
17306,-1
17307,-1
17308,-1
17309,-1
17310,-1
17311,0
17312,-1
17313,-1
17314,-1
17315,-1
17316,-1
17317,-1
17318,0
17319,1
17320,1
17321,1
17322,1
17323,1
17324,1
17325,1
17326,0
17327,-1
17328,-1
17329,-1
17330,-1
17331,0
17332,0
17333,1
17334,0
17335,1
17336,1
17337,1
17338,1
17339,1
17340,1
17341,-1
17342,-1
17343,0
17344,0
17345,-1
17346,0
17347,0
17348,-1
17349,-1
17350,-1
17351,-1
17352,-1
17353,-1
17354,-1
17355,0
17356,0
17357,0
17358,-1
17359,-1
17360,-1
17361,-1
17362,-1
17363,0
17364,0
17365,0
17366,0
17367,-1
17368,-1
17369,-1
17370,-1
17371,-1
17372,-1
17373,0
17374,1
17375,1
17376,1
17377,1
17378,1
17379,1
17380,1
17381,1
17382,1
17383,1
17384,1
17385,1
17386,-1
17387,-1
17388,-1
17389,-1
17390,-1
17391,-1
17392,1
17393,1
17394,1
17395,1
17396,1
17397,0
17398,1
17399,0
17400,1
17401,1
17402,1
17403,0
17404,1
17405,1
17406,1
17407,-1
17408,0
17409,-1
17410,-1
17411,0
17412,1
17413,-1
17414,-1
17415,0
17416,0
17417,0
17418,1
17419,1
17420,0
17421,0
17422,1
17423,0
17424,0
17425,1
17426,-1
17427,-1
17428,1
17429,0
17430,0
17431,1
17432,1
17433,1
17434,0
17435,0
17436,-1
17437,-1
17438,-1
17439,0
17440,-1
17441,0
17442,0
17443,-1
17444,-1
17445,-1
17446,-1
17447,-1
17448,0
17449,-1
17450,-1
17451,-1
17452,-1
17453,-1
17454,-1
17455,-1
17456,-1
17457,-1
17458,-1
17459,-1
17460,-1
17461,-1
17462,-1
17463,-1
17464,-1
17465,-1
17466,-1
17467,1
17468,1
17469,1
17470,1
17471,1
17472,0
17473,1
17474,1
17475,1
17476,1
17477,1
17478,-1
17479,-1
17480,-1
17481,-1
17482,-1
17483,0
17484,1
17485,-1
17486,-1
17487,-1
17488,0
17489,0
17490,1
17491,0
17492,1
17493,0
17494,-1
17495,-1
17496,0
17497,1
17498,1
17499,1
17500,1
17501,1
17502,1
17503,1
17504,1
17505,1
17506,-1
17507,-1
17508,-1
17509,-1
17510,-1
17511,-1
17512,-1
17513,-1
17514,-1
17515,-1
17516,-1
17517,-1
17518,-1
17519,-1
17520,-1
17521,-1
17522,-1
17523,-1
17524,-1
17525,-1
17526,-1
17527,-1
17528,-1
17529,-1
17530,-1
17531,1
17532,1
17533,1
17534,1
17535,1
17536,1
17537,1
17538,1
17539,1
17540,1
17541,0
17542,1
17543,1
17544,1
17545,0
17546,-1
17547,-1
17548,-1
17549,-1
17550,-1
17551,-1
17552,0
17553,-1
17554,0
17555,-1
17556,1
17557,1
17558,1
17559,1
17560,1
17561,1
17562,1
17563,0
