品种,名称,窗口ID,训练开始,训练结束,测试开始,测试结束,准确率,AUC,震荡召回率,趋势召回率,F1
HC8888.XSGE,热卷,1,2019-07-01,2020-12-31,2021-01-01,2021-03-31,0.6339,0.5515,0.7303,0.2609,0.2264
HC8888.XSGE,热卷,2,2019-10-01,2021-03-31,2021-04-01,2021-06-30,0.7054,0.5503,0.9467,0.2162,0.3265
HC8888.XSGE,热卷,3,2020-01-01,2021-06-30,2021-07-01,2021-09-30,0.5968,0.5945,0.6747,0.4390,0.4186
HC8888.XSGE,热卷,4,2020-04-01,2021-09-30,2021-10-01,2021-12-31,0.7167,0.6700,0.8370,0.3214,0.3462
HC8888.XSGE,热卷,5,2020-07-01,2021-12-31,2022-01-01,2022-03-31,0.5357,0.4396,0.6267,0.3514,0.3333
HC8888.XSGE,热卷,6,2020-10-01,2022-03-31,2022-04-01,2022-06-30,0.6000,0.3780,0.7470,0.1481,0.1538
HC8888.XSGE,热卷,7,2021-01-01,2022-06-30,2022-07-01,2022-09-30,0.6905,0.5105,0.9333,0.0833,0.1333
HC8888.XSGE,热卷,8,2021-04-01,2022-09-30,2022-10-01,2022-12-31,0.6102,0.5878,0.8500,0.1053,0.1481
HC8888.XSGE,热卷,9,2021-07-01,2022-12-31,2023-01-01,2023-03-31,0.7018,0.6678,0.7812,0.2778,0.2273
HC8888.XSGE,热卷,10,2021-10-01,2023-03-31,2023-04-01,2023-06-30,0.6273,0.5504,0.7160,0.3793,0.3492
HC8888.XSGE,热卷,11,2022-01-01,2023-06-30,2023-07-01,2023-09-30,0.6984,0.6335,0.8876,0.2432,0.3214
HC8888.XSGE,热卷,12,2022-04-01,2023-09-30,2023-10-01,2023-12-31,0.6441,0.6850,0.6163,0.7188,0.5227
HC8888.XSGE,热卷,13,2022-07-01,2023-12-31,2024-01-01,2024-03-31,0.6579,0.6377,0.7262,0.4667,0.4179
HC8888.XSGE,热卷,14,2022-10-01,2024-03-31,2024-04-01,2024-06-30,0.7054,0.6947,0.7500,0.5714,0.4923
HC8888.XSGE,热卷,15,2023-01-01,2024-06-30,2024-07-01,2024-09-30,0.6774,0.5974,0.8652,0.2000,0.2593
HC8888.XSGE,热卷,16,2023-04-01,2024-09-30,2024-10-01,2024-12-31,0.4750,0.5091,0.5053,0.3600,0.2222
HC8888.XSGE,热卷,17,2023-07-01,2024-12-31,2025-01-01,2025-03-31,0.7727,0.5689,0.8889,0.2500,0.2857
HC8888.XSGE,热卷,18,2023-10-01,2025-03-31,2025-04-01,2025-06-30,0.6429,0.5172,0.8000,0.1481,0.1667
HC8888.XSGE,热卷,19,2024-01-01,2025-06-30,2025-07-01,2025-09-30,0.5692,0.6001,0.5978,0.5000,0.4043
HC8888.XSGE,热卷,20,2024-04-01,2025-09-30,2025-10-01,2025-12-31,0.6525,0.5726,0.7667,0.2857,0.2807
I8888.XDCE,铁矿石,1,2019-07-01,2020-12-31,2021-01-01,2021-03-31,0.7411,0.5027,0.9213,0.0435,0.0645
I8888.XDCE,铁矿石,2,2019-10-01,2021-03-31,2021-04-01,2021-06-30,0.6696,0.5305,0.8625,0.1875,0.2449
I8888.XDCE,铁矿石,3,2020-01-01,2021-06-30,2021-07-01,2021-09-30,0.6371,0.5176,0.7895,0.1379,0.1509
I8888.XDCE,铁矿石,4,2020-04-01,2021-09-30,2021-10-01,2021-12-31,0.6583,0.5849,0.8000,0.3143,0.3492
I8888.XDCE,铁矿石,5,2020-07-01,2021-12-31,2022-01-01,2022-03-31,0.5982,0.5498,0.7703,0.2632,0.3077
I8888.XDCE,铁矿石,6,2020-10-01,2022-03-31,2022-04-01,2022-06-30,0.7364,0.6301,0.8675,0.3333,0.3830
I8888.XDCE,铁矿石,7,2021-01-01,2022-06-30,2022-07-01,2022-09-30,0.7302,0.6080,0.9462,0.1212,0.1905
I8888.XDCE,铁矿石,8,2021-04-01,2022-09-30,2022-10-01,2022-12-31,0.6186,0.4898,0.7471,0.2581,0.2623
I8888.XDCE,铁矿石,9,2021-07-01,2022-12-31,2023-01-01,2023-03-31,0.7368,0.6188,0.8421,0.2105,0.2105
I8888.XDCE,铁矿石,10,2021-10-01,2023-03-31,2023-04-01,2023-06-30,0.5091,0.4851,0.5443,0.4194,0.3250
I8888.XDCE,铁矿石,11,2022-01-01,2023-06-30,2023-07-01,2023-09-30,0.6667,0.6092,0.8427,0.2432,0.3000
I8888.XDCE,铁矿石,12,2022-04-01,2023-09-30,2023-10-01,2023-12-31,0.7627,0.7872,0.8736,0.4516,0.5000
I8888.XDCE,铁矿石,13,2022-07-01,2023-12-31,2024-01-01,2024-03-31,0.6754,0.4398,0.9870,0.0270,0.0513
I8888.XDCE,铁矿石,14,2022-10-01,2024-03-31,2024-04-01,2024-06-30,0.4464,0.6893,0.3059,0.8889,0.4364
I8888.XDCE,铁矿石,15,2023-01-01,2024-06-30,2024-07-01,2024-09-30,0.7500,0.5567,0.8600,0.2917,0.3111
I8888.XDCE,铁矿石,16,2023-04-01,2024-09-30,2024-10-01,2024-12-31,0.7417,0.5796,0.9072,0.0435,0.0606
I8888.XDCE,铁矿石,17,2023-07-01,2024-12-31,2025-01-01,2025-03-31,0.7727,0.5968,0.9506,0.2759,0.3902
I8888.XDCE,铁矿石,18,2023-10-01,2025-03-31,2025-04-01,2025-06-30,0.5000,0.6554,0.4468,0.7778,0.3333
I8888.XDCE,铁矿石,19,2024-01-01,2025-06-30,2025-07-01,2025-09-30,0.6923,0.5827,0.8387,0.3243,0.3750
I8888.XDCE,铁矿石,20,2024-04-01,2025-09-30,2025-10-01,2025-12-31,0.5932,0.6110,0.5909,0.6000,0.4286
AU8888.XSGE,黄金,1,2019-07-01,2020-12-31,2021-01-01,2021-03-31,0.7263,0.6886,0.9729,0.0900,0.1552
AU8888.XSGE,黄金,2,2019-10-01,2021-03-31,2021-04-01,2021-06-30,0.6804,0.6263,0.8582,0.2255,0.2840
AU8888.XSGE,黄金,3,2020-01-01,2021-06-30,2021-07-01,2021-09-30,0.7293,0.7328,0.8451,0.3922,0.4255
AU8888.XSGE,黄金,4,2020-04-01,2021-09-30,2021-10-01,2021-12-31,0.6867,0.7243,0.8805,0.3182,0.4118
AU8888.XSGE,黄金,5,2020-07-01,2021-12-31,2022-01-01,2022-03-31,0.6759,0.6872,0.8589,0.2743,0.3464
AU8888.XSGE,黄金,6,2020-10-01,2022-03-31,2022-04-01,2022-06-30,0.6292,0.6419,0.7773,0.3622,0.4107
AU8888.XSGE,黄金,7,2021-01-01,2022-06-30,2022-07-01,2022-09-30,0.6527,0.5746,0.9594,0.0370,0.0662
AU8888.XSGE,黄金,8,2021-04-01,2022-09-30,2022-10-01,2022-12-31,0.6421,0.6262,0.8285,0.1604,0.2000
AU8888.XSGE,黄金,9,2021-07-01,2022-12-31,2023-01-01,2023-03-31,0.4918,0.5958,0.3820,0.7822,0.4580
AU8888.XSGE,黄金,10,2021-10-01,2023-03-31,2023-04-01,2023-06-30,0.6610,0.7088,1.0000,0.0083,0.0164
AU8888.XSGE,黄金,11,2022-01-01,2023-06-30,2023-07-01,2023-09-30,0.6494,0.6105,0.7413,0.3182,0.2828
AU8888.XSGE,黄金,12,2022-04-01,2023-09-30,2023-10-01,2023-12-31,0.7000,0.7073,0.8919,0.2893,0.3804
AU8888.XSGE,黄金,13,2022-07-01,2023-12-31,2024-01-01,2024-03-31,0.5383,0.6406,0.4982,0.6593,0.4152
AU8888.XSGE,黄金,14,2022-10-01,2024-03-31,2024-04-01,2024-06-30,0.7017,0.6839,0.8175,0.3939,0.4194
AU8888.XSGE,黄金,15,2023-01-01,2024-06-30,2024-07-01,2024-09-30,0.7085,0.6491,0.8114,0.4059,0.4141
AU8888.XSGE,黄金,16,2023-04-01,2024-09-30,2024-10-01,2024-12-31,0.7781,0.6693,0.9600,0.1205,0.1905
AU8888.XSGE,黄金,17,2023-07-01,2024-12-31,2025-01-01,2025-03-31,0.7736,0.6974,0.9216,0.2840,0.3680
AU8888.XSGE,黄金,18,2023-10-01,2025-03-31,2025-04-01,2025-06-30,0.8049,0.6841,0.9759,0.1233,0.2022
AU8888.XSGE,黄金,19,2024-01-01,2025-06-30,2025-07-01,2025-09-30,0.6403,0.5921,0.7726,0.3051,0.3243
AU8888.XSGE,黄金,20,2024-04-01,2025-09-30,2025-10-01,2025-12-31,0.7287,0.5323,0.9278,0.0471,0.0727
CF8888.XZCE,郑棉,1,2019-07-01,2020-12-31,2021-01-01,2021-03-31,0.7589,0.6420,0.9091,0.2083,0.2703
CF8888.XZCE,郑棉,2,2019-10-01,2021-03-31,2021-04-01,2021-06-30,0.7946,0.6850,0.9011,0.3333,0.3784
CF8888.XZCE,郑棉,3,2020-01-01,2021-06-30,2021-07-01,2021-09-30,0.6935,0.5373,0.9535,0.1053,0.1739
CF8888.XZCE,郑棉,4,2020-04-01,2021-09-30,2021-10-01,2021-12-31,0.7417,0.5877,0.8137,0.3333,0.2791
CF8888.XZCE,郑棉,5,2020-07-01,2021-12-31,2022-01-01,2022-03-31,0.6696,0.5022,0.7865,0.2174,0.2128
CF8888.XZCE,郑棉,6,2020-10-01,2022-03-31,2022-04-01,2022-06-30,0.7545,0.5658,0.9759,0.0741,0.1290
CF8888.XZCE,郑棉,7,2021-01-01,2022-06-30,2022-07-01,2022-09-30,0.7778,0.5159,0.9798,0.0370,0.0667
CF8888.XZCE,郑棉,8,2021-04-01,2022-09-30,2022-10-01,2022-12-31,0.6525,0.5391,0.9870,0.0244,0.0465
CF8888.XZCE,郑棉,9,2021-07-01,2022-12-31,2023-01-01,2023-03-31,0.7456,0.5415,0.8830,0.1000,0.1212
CF8888.XZCE,郑棉,10,2021-10-01,2023-03-31,2023-04-01,2023-06-30,0.6909,0.5500,0.9250,0.0667,0.1053
CF8888.XZCE,郑棉,11,2022-01-01,2023-06-30,2023-07-01,2023-09-30,0.7063,0.5903,0.9432,0.1579,0.2449
CF8888.XZCE,郑棉,12,2022-04-01,2023-09-30,2023-10-01,2023-12-31,0.6186,0.6242,0.8533,0.2093,0.2857
CF8888.XZCE,郑棉,13,2022-07-01,2023-12-31,2024-01-01,2024-03-31,0.7105,0.5699,0.8427,0.2400,0.2667
CF8888.XZCE,郑棉,14,2022-10-01,2024-03-31,2024-04-01,2024-06-30,0.7321,0.6187,0.9625,0.1562,0.2500
CF8888.XZCE,郑棉,15,2023-01-01,2024-06-30,2024-07-01,2024-09-30,0.6048,0.5699,0.7234,0.2333,0.2222
CF8888.XZCE,郑棉,16,2023-04-01,2024-09-30,2024-10-01,2024-12-31,0.6167,0.5691,0.6344,0.5556,0.3947
CF8888.XZCE,郑棉,17,2023-07-01,2024-12-31,2025-01-01,2025-03-31,0.7000,0.7345,0.7033,0.6842,0.4407
CF8888.XZCE,郑棉,18,2023-10-01,2025-03-31,2025-04-01,2025-06-30,0.6875,0.5763,0.8642,0.2258,0.2857
CF8888.XZCE,郑棉,19,2024-01-01,2025-06-30,2025-07-01,2025-09-30,0.6308,0.5835,0.7816,0.3256,0.3684
CF8888.XZCE,郑棉,20,2024-04-01,2025-09-30,2025-10-01,2025-12-31,0.6780,0.5761,0.7416,0.4828,0.4242
