,open_interest
2023-01-03 09:00:00,1904853.0
2023-01-03 09:15:00,1897426.0
2023-01-03 09:30:00,1882106.0
2023-01-03 09:45:00,1883870.0
2023-01-03 10:00:00,1885127.0
2023-01-03 10:15:00,1884839.0
2023-01-03 10:30:00,1883765.0
2023-01-03 10:45:00,1887159.0
2023-01-03 11:00:00,1888151.0
2023-01-03 11:15:00,1891007.0
2023-01-03 11:30:00,1890125.0
2023-01-03 13:30:00,1893636.0
2023-01-03 13:45:00,1895852.0
2023-01-03 14:00:00,1894494.0
2023-01-03 14:15:00,1893474.0
2023-01-03 14:30:00,1890649.0
2023-01-03 14:45:00,1886087.0
2023-01-03 15:00:00,1882723.0
2023-01-03 21:00:00,1874625.0
2023-01-03 21:15:00,1877606.0
2023-01-03 21:30:00,1878059.0
2023-01-03 21:45:00,1875027.0
2023-01-03 22:00:00,1875055.0
2023-01-03 22:15:00,1874401.0
2023-01-03 22:30:00,1874926.0
2023-01-03 22:45:00,1870789.0
2023-01-03 23:00:00,1869077.0
2023-01-04 09:00:00,1872527.0
2023-01-04 09:15:00,1870545.0
2023-01-04 09:30:00,1864055.0
2023-01-04 09:45:00,1865228.0
2023-01-04 10:00:00,1862316.0
2023-01-04 10:15:00,1861614.0
2023-01-04 10:30:00,1862111.0
2023-01-04 10:45:00,1860251.0
2023-01-04 11:00:00,1868879.0
2023-01-04 11:15:00,1886299.0
2023-01-04 11:30:00,1885371.0
2023-01-04 13:30:00,1884527.0
2023-01-04 13:45:00,1884579.0
2023-01-04 14:00:00,1885289.0
2023-01-04 14:15:00,1885343.0
2023-01-04 14:30:00,1882313.0
2023-01-04 14:45:00,1877436.0
2023-01-04 15:00:00,1874643.0
2023-01-04 21:00:00,1870507.0
2023-01-04 21:15:00,1862174.0
2023-01-04 21:30:00,1860693.0
2023-01-04 21:45:00,1860917.0
2023-01-04 22:00:00,1861123.0
2023-01-04 22:15:00,1860246.0
2023-01-04 22:30:00,1859151.0
2023-01-04 22:45:00,1855440.0
2023-01-04 23:00:00,1853032.0
2023-01-05 09:00:00,1844449.0
2023-01-05 09:15:00,1834492.0
2023-01-05 09:30:00,1830249.0
2023-01-05 09:45:00,1828900.0
2023-01-05 10:00:00,1828953.0
2023-01-05 10:15:00,1828991.0
2023-01-05 10:30:00,1829769.0
2023-01-05 10:45:00,1828840.0
2023-01-05 11:00:00,1826965.0
2023-01-05 11:15:00,1827508.0
2023-01-05 11:30:00,1828316.0
2023-01-05 13:30:00,1827882.0
2023-01-05 13:45:00,1825452.0
2023-01-05 14:00:00,1833560.0
2023-01-05 14:15:00,1838518.0
2023-01-05 14:30:00,1836517.0
2023-01-05 14:45:00,1828487.0
2023-01-05 15:00:00,1825776.0
2023-01-05 21:00:00,1825575.0
2023-01-05 21:15:00,1826639.0
2023-01-05 21:30:00,1824993.0
2023-01-05 21:45:00,1828110.0
2023-01-05 22:00:00,1829564.0
2023-01-05 22:15:00,1831023.0
2023-01-05 22:30:00,1830312.0
2023-01-05 22:45:00,1822229.0
2023-01-05 23:00:00,1819651.0
2023-01-06 09:00:00,1832441.0
2023-01-06 09:15:00,1836330.0
2023-01-06 09:30:00,1837684.0
2023-01-06 09:45:00,1836100.0
2023-01-06 10:00:00,1839410.0
2023-01-06 10:15:00,1840431.0
2023-01-06 10:30:00,1865608.0
2023-01-06 10:45:00,1876755.0
2023-01-06 11:00:00,1884769.0
2023-01-06 11:15:00,1904387.0
2023-01-06 11:30:00,1904553.0
2023-01-06 13:30:00,1914361.0
2023-01-06 13:45:00,1923720.0
2023-01-06 14:00:00,1926110.0
2023-01-06 14:15:00,1927926.0
2023-01-06 14:30:00,1930932.0
2023-01-06 14:45:00,1928317.0
2023-01-06 15:00:00,1923950.0
2023-01-06 21:00:00,1903894.0
2023-01-06 21:15:00,1896754.0
2023-01-06 21:30:00,1892622.0
2023-01-06 21:45:00,1895630.0
2023-01-06 22:00:00,1904585.0
2023-01-06 22:15:00,1908447.0
2023-01-06 22:30:00,1889879.0
2023-01-06 22:45:00,1866032.0
2023-01-06 23:00:00,1859874.0
2023-01-09 09:00:00,1869551.0
2023-01-09 09:15:00,1873735.0
2023-01-09 09:30:00,1873446.0
2023-01-09 09:45:00,1871543.0
2023-01-09 10:00:00,1873007.0
2023-01-09 10:15:00,1872995.0
2023-01-09 10:30:00,1876231.0
2023-01-09 10:45:00,1876881.0
2023-01-09 11:00:00,1875460.0
2023-01-09 11:15:00,1868930.0
2023-01-09 11:30:00,1866196.0
2023-01-09 13:30:00,1869802.0
2023-01-09 13:45:00,1871542.0
2023-01-09 14:00:00,1872777.0
2023-01-09 14:15:00,1873340.0
2023-01-09 14:30:00,1870680.0
2023-01-09 14:45:00,1865053.0
2023-01-09 15:00:00,1863784.0
2023-01-09 21:00:00,1863630.0
2023-01-09 21:15:00,1868671.0
2023-01-09 21:30:00,1869414.0
2023-01-09 21:45:00,1867717.0
2023-01-09 22:00:00,1869341.0
2023-01-09 22:15:00,1868645.0
2023-01-09 22:30:00,1870882.0
2023-01-09 22:45:00,1868999.0
2023-01-09 23:00:00,1867485.0
2023-01-10 09:00:00,1872674.0
2023-01-10 09:15:00,1873273.0
2023-01-10 09:30:00,1874261.0
2023-01-10 09:45:00,1873718.0
2023-01-10 10:00:00,1874360.0
2023-01-10 10:15:00,1874338.0
2023-01-10 10:30:00,1876075.0
2023-01-10 10:45:00,1877722.0
2023-01-10 11:00:00,1888120.0
2023-01-10 11:15:00,1894141.0
2023-01-10 11:30:00,1893702.0
2023-01-10 13:30:00,1901200.0
2023-01-10 13:45:00,1897387.0
2023-01-10 14:00:00,1896145.0
2023-01-10 14:15:00,1915416.0
2023-01-10 14:30:00,1935102.0
2023-01-10 14:45:00,1935869.0
2023-01-10 15:00:00,1930856.0
2023-01-10 21:00:00,1932113.0
2023-01-10 21:15:00,1926855.0
2023-01-10 21:30:00,1926699.0
2023-01-10 21:45:00,1925775.0
2023-01-10 22:00:00,1920485.0
2023-01-10 22:15:00,1920451.0
2023-01-10 22:30:00,1918877.0
2023-01-10 22:45:00,1915895.0
2023-01-10 23:00:00,1913915.0
2023-01-11 09:00:00,1917632.0
2023-01-11 09:15:00,1933311.0
2023-01-11 09:30:00,1938689.0
2023-01-11 09:45:00,1945518.0
2023-01-11 10:00:00,1946400.0
2023-01-11 10:15:00,1946373.0
2023-01-11 10:30:00,1950710.0
2023-01-11 10:45:00,1948817.0
2023-01-11 11:00:00,1948637.0
2023-01-11 11:15:00,1952959.0
2023-01-11 11:30:00,1953051.0
2023-01-11 13:30:00,1960407.0
2023-01-11 13:45:00,1958194.0
2023-01-11 14:00:00,1959480.0
2023-01-11 14:15:00,1963227.0
2023-01-11 14:30:00,1960919.0
2023-01-11 14:45:00,1957951.0
2023-01-11 15:00:00,1955990.0
2023-01-11 21:00:00,1951736.0
2023-01-11 21:15:00,1948722.0
2023-01-11 21:30:00,1944678.0
2023-01-11 21:45:00,1942971.0
2023-01-11 22:00:00,1942213.0
2023-01-11 22:15:00,1938692.0
2023-01-11 22:30:00,1892059.0
2023-01-11 22:45:00,1881469.0
2023-01-11 23:00:00,1878661.0
2023-01-12 09:00:00,1881017.0
2023-01-12 09:15:00,1889943.0
2023-01-12 09:30:00,1888918.0
2023-01-12 09:45:00,1887578.0
2023-01-12 10:00:00,1886674.0
2023-01-12 10:15:00,1886053.0
2023-01-12 10:30:00,1880944.0
2023-01-12 10:45:00,1880929.0
2023-01-12 11:00:00,1879875.0
2023-01-12 11:15:00,1877097.0
2023-01-12 11:30:00,1876067.0
2023-01-12 13:30:00,1876728.0
2023-01-12 13:45:00,1874875.0
2023-01-12 14:00:00,1873941.0
2023-01-12 14:15:00,1875239.0
2023-01-12 14:30:00,1876406.0
2023-01-12 14:45:00,1868200.0
2023-01-12 15:00:00,1867251.0
2023-01-12 21:00:00,1881317.0
2023-01-12 21:15:00,1882897.0
2023-01-12 21:30:00,1884886.0
2023-01-12 21:45:00,1883778.0
2023-01-12 22:00:00,1884813.0
2023-01-12 22:15:00,1867904.0
2023-01-12 22:30:00,1864777.0
2023-01-12 22:45:00,1858731.0
2023-01-12 23:00:00,1856337.0
2023-01-13 09:00:00,1857980.0
2023-01-13 09:15:00,1855655.0
2023-01-13 09:30:00,1859452.0
2023-01-13 09:45:00,1879853.0
2023-01-13 10:00:00,1876834.0
2023-01-13 10:15:00,1876814.0
2023-01-13 10:30:00,1879032.0
2023-01-13 10:45:00,1886469.0
2023-01-13 11:00:00,1887828.0
2023-01-13 11:15:00,1885807.0
2023-01-13 11:30:00,1885585.0
2023-01-13 13:30:00,1922371.0
2023-01-13 13:45:00,1927932.0
2023-01-13 14:00:00,1931803.0
2023-01-13 14:15:00,1933022.0
2023-01-13 14:30:00,1934619.0
2023-01-13 14:45:00,1930894.0
2023-01-13 15:00:00,1927798.0
2023-01-13 21:00:00,1893706.0
2023-01-13 21:15:00,1895841.0
2023-01-13 21:30:00,1894779.0
2023-01-13 21:45:00,1894022.0
2023-01-13 22:00:00,1889043.0
2023-01-13 22:15:00,1884740.0
2023-01-13 22:30:00,1884119.0
2023-01-13 22:45:00,1877486.0
2023-01-13 23:00:00,1874650.0
2023-01-16 09:00:00,1859856.0
2023-01-16 09:15:00,1856189.0
2023-01-16 09:30:00,1854700.0
2023-01-16 09:45:00,1855084.0
2023-01-16 10:00:00,1853948.0
2023-01-16 10:15:00,1853761.0
2023-01-16 10:30:00,1855449.0
2023-01-16 10:45:00,1853295.0
2023-01-16 11:00:00,1855806.0
2023-01-16 11:15:00,1847854.0
2023-01-16 11:30:00,1847476.0
2023-01-16 13:30:00,1851906.0
2023-01-16 13:45:00,1850848.0
2023-01-16 14:00:00,1847828.0
2023-01-16 14:15:00,1843879.0
2023-01-16 14:30:00,1844076.0
2023-01-16 14:45:00,1831495.0
2023-01-16 15:00:00,1829618.0
2023-01-16 21:00:00,1847266.0
2023-01-16 21:15:00,1852546.0
2023-01-16 21:30:00,1850991.0
2023-01-16 21:45:00,1850904.0
2023-01-16 22:00:00,1852582.0
2023-01-16 22:15:00,1853697.0
2023-01-16 22:30:00,1853199.0
2023-01-16 22:45:00,1847577.0
2023-01-16 23:00:00,1846172.0
2023-01-17 09:00:00,1844834.0
2023-01-17 09:15:00,1845770.0
2023-01-17 09:30:00,1846218.0
2023-01-17 09:45:00,1844773.0
2023-01-17 10:00:00,1843254.0
2023-01-17 10:15:00,1843378.0
2023-01-17 10:30:00,1843178.0
2023-01-17 10:45:00,1842643.0
2023-01-17 11:00:00,1842690.0
2023-01-17 11:15:00,1844144.0
2023-01-17 11:30:00,1843740.0
2023-01-17 13:30:00,1851889.0
2023-01-17 13:45:00,1856889.0
2023-01-17 14:00:00,1859055.0
2023-01-17 14:15:00,1859335.0
2023-01-17 14:30:00,1857814.0
2023-01-17 14:45:00,1845786.0
2023-01-17 15:00:00,1844213.0
2023-01-17 21:00:00,1850190.0
2023-01-17 21:15:00,1855829.0
2023-01-17 21:30:00,1856354.0
2023-01-17 21:45:00,1857981.0
2023-01-17 22:00:00,1862371.0
2023-01-17 22:15:00,1861317.0
2023-01-17 22:30:00,1860447.0
2023-01-17 22:45:00,1860862.0
2023-01-17 23:00:00,1859971.0
2023-01-18 09:00:00,1868564.0
2023-01-18 09:15:00,1868828.0
2023-01-18 09:30:00,1862733.0
2023-01-18 09:45:00,1862723.0
2023-01-18 10:00:00,1865026.0
2023-01-18 10:15:00,1865286.0
2023-01-18 10:30:00,1869217.0
2023-01-18 10:45:00,1867578.0
2023-01-18 11:00:00,1867855.0
2023-01-18 11:15:00,1866746.0
2023-01-18 11:30:00,1866528.0
2023-01-18 13:30:00,1863411.0
2023-01-18 13:45:00,1863719.0
2023-01-18 14:00:00,1863943.0
