,vwap
2023-01-03 09:00:00,40438.21923919215
2023-01-03 09:15:00,40233.49865974825
2023-01-03 09:30:00,40421.500347958376
2023-01-03 09:45:00,40384.61852496319
2023-01-03 10:00:00,40467.979195958644
2023-01-03 10:15:00,40441.176151761516
2023-01-03 10:30:00,40494.73399333827
2023-01-03 10:45:00,40417.47488374763
2023-01-03 11:00:00,40424.217220543804
2023-01-03 11:15:00,40457.84041849179
2023-01-03 11:30:00,40519.81978668628
2023-01-03 13:30:00,40547.127427746454
2023-01-03 13:45:00,40607.331185126044
2023-01-03 14:00:00,40619.80677810152
2023-01-03 14:15:00,40687.08054635582
2023-01-03 14:30:00,40643.35749382414
2023-01-03 14:45:00,40593.54595988418
2023-01-03 15:00:00,40628.36156498276
2023-01-03 21:00:00,40660.336128183844
2023-01-03 21:15:00,40770.72458426701
2023-01-03 21:30:00,40790.819677536354
2023-01-03 21:45:00,40756.50850062434
2023-01-03 22:00:00,40755.558979349116
2023-01-03 22:15:00,40760.990897151394
2023-01-03 22:30:00,40736.10641972939
2023-01-03 22:45:00,40708.99417127485
2023-01-03 23:00:00,40633.13660618997
2023-01-04 09:00:00,40616.74371281015
2023-01-04 09:15:00,40515.97326093136
2023-01-04 09:30:00,40425.25408754795
2023-01-04 09:45:00,40481.14051789794
2023-01-04 10:00:00,40585.59248255372
2023-01-04 10:15:00,40588.851126708534
2023-01-04 10:30:00,40543.25242864447
2023-01-04 10:45:00,40480.55091931828
2023-01-04 11:00:00,40301.99445611486
2023-01-04 11:15:00,40186.60451653664
2023-01-04 11:30:00,40198.12870114489
2023-01-04 13:30:00,40224.34155097256
2023-01-04 13:45:00,40229.82721313562
2023-01-04 14:00:00,40189.55167020893
2023-01-04 14:15:00,40189.433987239565
2023-01-04 14:30:00,40225.493991575815
2023-01-04 14:45:00,40265.30326082487
2023-01-04 15:00:00,40267.75254109675
2023-01-04 21:00:00,40030.7491056279
2023-01-04 21:15:00,40053.2340542883
2023-01-04 21:30:00,40124.936578215216
2023-01-04 21:45:00,40115.12102280982
2023-01-04 22:00:00,40089.99557348023
2023-01-04 22:15:00,40096.158633598505
2023-01-04 22:30:00,40036.95693799821
2023-01-04 22:45:00,39997.11966489301
2023-01-04 23:00:00,39990.69851052902
2023-01-05 09:00:00,39840.281995095735
2023-01-05 09:15:00,39864.003050632746
2023-01-05 09:30:00,39976.46408924439
2023-01-05 09:45:00,40070.76047460141
2023-01-05 10:00:00,40080.048985304406
2023-01-05 10:15:00,40058.44020797227
2023-01-05 10:30:00,40066.961065097916
2023-01-05 10:45:00,40062.53437157805
2023-01-05 11:00:00,39990.867766042866
2023-01-05 11:15:00,39883.83868595244
2023-01-05 11:30:00,39789.86796936889
2023-01-05 13:30:00,39895.94469892006
2023-01-05 13:45:00,40079.46149161176
2023-01-05 14:00:00,40193.0967261509
2023-01-05 14:15:00,40173.234131765385
2023-01-05 14:30:00,40130.56147491919
2023-01-05 14:45:00,40129.31078792127
2023-01-05 15:00:00,40165.90600851601
2023-01-05 21:00:00,40439.77024974734
2023-01-05 21:15:00,40394.43410883997
2023-01-05 21:30:00,40356.63941261415
2023-01-05 21:45:00,40314.28552245821
2023-01-05 22:00:00,40284.482012513035
2023-01-05 22:15:00,40305.7815298704
2023-01-05 22:30:00,40357.130589631975
2023-01-05 22:45:00,40312.57512062294
2023-01-05 23:00:00,40323.42113276492
2023-01-06 09:00:00,40549.00402150329
2023-01-06 09:15:00,40553.51297166283
2023-01-06 09:30:00,40460.66756628036
2023-01-06 09:45:00,40515.74857737081
2023-01-06 10:00:00,40630.830812594526
2023-01-06 10:15:00,40694.025459688826
2023-01-06 10:30:00,40780.140444842466
2023-01-06 10:45:00,40896.70824105373
2023-01-06 11:00:00,40966.0482183442
2023-01-06 11:15:00,41052.92474607572
2023-01-06 11:30:00,41140.27619367103
2023-01-06 13:30:00,41016.97681345369
2023-01-06 13:45:00,41039.53680452013
2023-01-06 14:00:00,40987.04492283917
2023-01-06 14:15:00,40987.06287957143
2023-01-06 14:30:00,41075.56083107897
2023-01-06 14:45:00,41133.75132286331
2023-01-06 15:00:00,41040.98640386896
2023-01-06 21:00:00,40988.676404437596
2023-01-06 21:15:00,41032.279650098324
2023-01-06 21:30:00,41012.99534511046
2023-01-06 21:45:00,41233.631774527435
2023-01-06 22:00:00,41330.397676596505
2023-01-06 22:15:00,41289.60563904055
2023-01-06 22:30:00,41048.418801671476
2023-01-06 22:45:00,40888.47147547651
2023-01-06 23:00:00,40834.19706966815
2023-01-09 09:00:00,40992.91485485056
2023-01-09 09:15:00,40991.43591340913
2023-01-09 09:30:00,40935.171935044
2023-01-09 09:45:00,40958.17665461835
2023-01-09 10:00:00,41003.382697682806
2023-01-09 10:15:00,40974.933135215455
2023-01-09 10:30:00,40982.10961873173
2023-01-09 10:45:00,40925.42858567973
2023-01-09 11:00:00,40860.13867251361
2023-01-09 11:15:00,40796.09287175214
2023-01-09 11:30:00,40889.214023541324
2023-01-09 13:30:00,40933.76672613738
2023-01-09 13:45:00,40966.197150852204
2023-01-09 14:00:00,40906.05053017411
2023-01-09 14:15:00,40880.200428098855
2023-01-09 14:30:00,40869.92115291953
2023-01-09 14:45:00,40895.03166521793
2023-01-09 15:00:00,40915.318559556785
2023-01-09 21:00:00,41043.689867220244
2023-01-09 21:15:00,41097.91653733938
2023-01-09 21:30:00,41032.79042128155
2023-01-09 21:45:00,40982.188673994715
2023-01-09 22:00:00,41023.928275099104
2023-01-09 22:15:00,41002.15088370063
2023-01-09 22:30:00,40994.06897498056
2023-01-09 22:45:00,41030.483245030875
2023-01-09 23:00:00,41069.795967354774
2023-01-10 09:00:00,40974.79200578766
2023-01-10 09:15:00,40970.66286215979
2023-01-10 09:30:00,40915.65360705508
2023-01-10 09:45:00,40966.0255601136
2023-01-10 10:00:00,40981.04140889219
2023-01-10 10:15:00,40973.577106518285
2023-01-10 10:30:00,40928.15825157534
2023-01-10 10:45:00,41020.65457313206
2023-01-10 11:00:00,41149.5593986581
2023-01-10 11:15:00,41188.63236669785
2023-01-10 11:30:00,41140.906486597094
2023-01-10 13:30:00,41204.28407886368
2023-01-10 13:45:00,41146.934537106936
2023-01-10 14:00:00,41126.50761068654
2023-01-10 14:15:00,41240.08809303595
2023-01-10 14:30:00,41309.59687186925
2023-01-10 14:45:00,41299.281423762855
2023-01-10 15:00:00,41239.01450353291
2023-01-10 21:00:00,41166.082940743916
2023-01-10 21:15:00,41083.563226294435
2023-01-10 21:30:00,41088.74738214723
2023-01-10 21:45:00,41087.30805337625
2023-01-10 22:00:00,41120.754133827846
2023-01-10 22:15:00,41103.806413689505
2023-01-10 22:30:00,41101.02962427746
2023-01-10 22:45:00,41162.56798823248
2023-01-10 23:00:00,41144.69987750102
2023-01-11 09:00:00,41232.159185213124
2023-01-11 09:15:00,41366.83889009557
2023-01-11 09:30:00,41382.97575204031
2023-01-11 09:45:00,41395.22027684723
2023-01-11 10:00:00,41411.438842174364
2023-01-11 10:15:00,41409.01256732496
2023-01-11 10:30:00,41396.13476420309
2023-01-11 10:45:00,41382.23572202445
2023-01-11 11:00:00,41411.70305130025
2023-01-11 11:15:00,41510.95660491432
2023-01-11 11:30:00,41611.53363158308
2023-01-11 13:30:00,41588.55498061978
2023-01-11 13:45:00,41535.88463659892
2023-01-11 14:00:00,41552.37892972723
2023-01-11 14:15:00,41609.072415619434
2023-01-11 14:30:00,41673.348289207795
2023-01-11 14:45:00,41642.96734329367
2023-01-11 15:00:00,41614.34599813142
2023-01-11 21:00:00,41487.29197097964
2023-01-11 21:15:00,41507.770339855815
2023-01-11 21:30:00,41430.22206167535
2023-01-11 21:45:00,41438.992544751425
2023-01-11 22:00:00,41404.989807618804
2023-01-11 22:15:00,41416.56770045386
2023-01-11 22:30:00,41120.0872672272
2023-01-11 22:45:00,41098.92619043097
2023-01-11 23:00:00,41080.92102625777
2023-01-12 09:00:00,41122.39299923643
2023-01-12 09:15:00,41235.058947823374
2023-01-12 09:30:00,41194.779646993935
2023-01-12 09:45:00,41183.53960166744
2023-01-12 10:00:00,41153.44621513944
2023-01-12 10:15:00,41124.287658802175
2023-01-12 10:30:00,41218.1594578541
2023-01-12 10:45:00,41157.706397863614
2023-01-12 11:00:00,41102.645900465446
2023-01-12 11:15:00,41137.710118928975
2023-01-12 11:30:00,41189.578891257996
2023-01-12 13:30:00,41346.04290944231
2023-01-12 13:45:00,41406.65189393012
2023-01-12 14:00:00,41370.82626031345
2023-01-12 14:15:00,41425.060458280444
2023-01-12 14:30:00,41429.57484443602
2023-01-12 14:45:00,41347.701992121976
