,amount
2023-01-03 09:00:00,29769019210.0
2023-01-03 10:00:00,6485717320.0
2023-01-03 11:00:00,2842237020.0
2023-01-03 13:00:00,4401069080.0
2023-01-03 14:00:00,6621811660.0
2023-01-03 15:00:00,271031800.0
2023-01-03 21:00:00,9635294490.0
2023-01-03 22:00:00,3592497220.0
2023-01-03 23:00:00,380732490.0
2023-01-04 09:00:00,11856294800.0
2023-01-04 10:00:00,8041720880.0
2023-01-04 11:00:00,10777205050.0
2023-01-04 13:00:00,4558515450.0
2023-01-04 14:00:00,6779713760.0
2023-01-04 15:00:00,320893720.0
2023-01-04 21:00:00,17920680130.0
2023-01-04 22:00:00,5362093160.0
2023-01-04 23:00:00,233585670.0
2023-01-05 09:00:00,13963109510.0
2023-01-05 10:00:00,3057336490.0
2023-01-05 11:00:00,4834821780.0
2023-01-05 13:00:00,7199119200.0
2023-01-05 14:00:00,8091714240.0
2023-01-05 15:00:00,254692010.0
2023-01-05 21:00:00,13269935240.0
2023-01-05 22:00:00,6802857070.0
2023-01-05 23:00:00,264844230.0
2023-01-06 09:00:00,12020357320.0
2023-01-06 10:00:00,13130728820.0
2023-01-06 11:00:00,9261279710.0
2023-01-06 13:00:00,5672321210.0
2023-01-06 14:00:00,9573941920.0
2023-01-06 15:00:00,449768170.0
2023-01-06 21:00:00,18145274610.0
2023-01-06 22:00:00,18006349770.0
2023-01-06 23:00:00,841674470.0
2023-01-09 09:00:00,10986304820.0
2023-01-09 10:00:00,4763159460.0
2023-01-09 11:00:00,5140252980.0
2023-01-09 13:00:00,3445851310.0
2023-01-09 14:00:00,4357435240.0
2023-01-09 15:00:00,236326880.0
2023-01-09 21:00:00,10982995260.0
2023-01-09 22:00:00,3753734170.0
2023-01-09 23:00:00,171096770.0
2023-01-10 09:00:00,5939234260.0
2023-01-10 10:00:00,3985826270.0
2023-01-10 11:00:00,5623072880.0
2023-01-10 13:00:00,4614330160.0
2023-01-10 14:00:00,9005667690.0
2023-01-10 15:00:00,443566840.0
2023-01-10 21:00:00,10347038210.0
2023-01-10 22:00:00,4605433730.0
2023-01-10 23:00:00,201526740.0
2023-01-11 09:00:00,8494315310.0
2023-01-11 10:00:00,4510405180.0
2023-01-11 11:00:00,6122475420.0
2023-01-11 13:00:00,4136035920.0
2023-01-11 14:00:00,7325185660.0
2023-01-11 15:00:00,267247330.0
2023-01-11 21:00:00,10535794310.0
2023-01-11 22:00:00,16182022850.0
2023-01-11 23:00:00,409905430.0
2023-01-12 09:00:00,7864005340.0
2023-01-12 10:00:00,4219645250.0
2023-01-12 11:00:00,3000066310.0
2023-01-12 13:00:00,6140832900.0
2023-01-12 14:00:00,5793634490.0
2023-01-12 15:00:00,249533370.0
2023-01-12 21:00:00,8771968990.0
2023-01-12 22:00:00,10841082020.0
2023-01-12 23:00:00,277694450.0
2023-01-13 09:00:00,12732956150.0
2023-01-13 10:00:00,5933691810.0
2023-01-13 11:00:00,2688195510.0
2023-01-13 13:00:00,6105923100.0
2023-01-13 14:00:00,5360456050.0
2023-01-13 15:00:00,390749680.0
2023-01-13 21:00:00,19309310800.0
2023-01-13 22:00:00,3786895860.0
2023-01-13 23:00:00,305826310.0
2023-01-16 09:00:00,17576922600.0
2023-01-16 10:00:00,4413109380.0
2023-01-16 11:00:00,4865781060.0
2023-01-16 13:00:00,2936084950.0
2023-01-16 14:00:00,5810848270.0
2023-01-16 15:00:00,280436980.0
2023-01-16 21:00:00,10736053410.0
2023-01-16 22:00:00,4729844160.0
2023-01-16 23:00:00,193444340.0
2023-01-17 09:00:00,9644132280.0
2023-01-17 10:00:00,3107364210.0
2023-01-17 11:00:00,1939397900.0
2023-01-17 13:00:00,5602169530.0
2023-01-17 14:00:00,5876176060.0
2023-01-17 15:00:00,255274880.0
2023-01-17 21:00:00,9946394380.0
2023-01-17 22:00:00,7283977390.0
2023-01-17 23:00:00,174463790.0
2023-01-18 09:00:00,8038431250.0
2023-01-18 10:00:00,3918717940.0
2023-01-18 11:00:00,1477959560.0
2023-01-18 13:00:00,2515151760.0
2023-01-18 14:00:00,3757484120.0
2023-01-18 15:00:00,270398450.0
2023-01-18 21:00:00,9013435190.0
2023-01-18 22:00:00,5569858420.0
2023-01-18 23:00:00,194955610.0
2023-01-19 09:00:00,6546685390.0
2023-01-19 10:00:00,4164673160.0
2023-01-19 11:00:00,2092679860.0
2023-01-19 13:00:00,3968600830.0
2023-01-19 14:00:00,6395690050.0
2023-01-19 15:00:00,283372050.0
2023-01-19 21:00:00,6984683320.0
2023-01-19 22:00:00,7637694620.0
2023-01-19 23:00:00,130693980.0
2023-01-20 09:00:00,6687500220.0
2023-01-20 10:00:00,2311018110.0
2023-01-20 11:00:00,2438162500.0
2023-01-20 13:00:00,1796797970.0
2023-01-20 14:00:00,5558730380.0
2023-01-20 15:00:00,618866030.0
2023-01-30 09:00:00,18347916630.0
2023-01-30 10:00:00,6601842670.0
2023-01-30 11:00:00,7519442020.0
2023-01-30 13:00:00,4632166640.0
2023-01-30 14:00:00,7003628950.0
2023-01-30 15:00:00,282423990.0
2023-01-30 21:00:00,7136929640.0
2023-01-30 22:00:00,3360307750.0
2023-01-30 23:00:00,174892320.0
2023-01-31 09:00:00,11224171090.0
2023-01-31 10:00:00,2993145570.0
2023-01-31 11:00:00,5136501980.0
2023-01-31 13:00:00,7055042020.0
2023-01-31 14:00:00,9232510840.0
2023-01-31 15:00:00,479158280.0
2023-01-31 21:00:00,11287970410.0
2023-01-31 22:00:00,7273548830.0
2023-01-31 23:00:00,241970850.0
2023-02-01 09:00:00,7585946390.0
2023-02-01 10:00:00,6292141650.0
2023-02-01 11:00:00,8050775690.0
2023-02-01 13:00:00,5606197000.0
2023-02-01 14:00:00,14872557210.0
2023-02-01 15:00:00,659976620.0
2023-02-01 21:00:00,8584341650.0
2023-02-01 22:00:00,7472776670.0
2023-02-01 23:00:00,332915090.0
2023-02-02 09:00:00,9654923410.0
2023-02-02 10:00:00,6341420000.0
2023-02-02 11:00:00,2735738450.0
2023-02-02 13:00:00,5385153990.0
2023-02-02 14:00:00,21905641470.0
2023-02-02 15:00:00,581429390.0
2023-02-02 21:00:00,8132139610.0
2023-02-02 22:00:00,5737072730.0
2023-02-02 23:00:00,264980790.0
2023-02-03 09:00:00,11792310270.0
2023-02-03 10:00:00,8808751400.0
2023-02-03 11:00:00,7844931880.0
2023-02-03 13:00:00,4100021010.0
2023-02-03 14:00:00,7014847830.0
2023-02-03 15:00:00,365127480.0
2023-02-03 21:00:00,9668967760.0
2023-02-03 22:00:00,9898461430.0
2023-02-03 23:00:00,352690010.0
2023-02-06 09:00:00,15147591820.0
2023-02-06 10:00:00,5592719770.0
2023-02-06 11:00:00,3110574170.0
2023-02-06 13:00:00,4584355790.0
2023-02-06 14:00:00,9715968720.0
2023-02-06 15:00:00,367731060.0
2023-02-06 21:00:00,7133791430.0
2023-02-06 22:00:00,7789265040.0
2023-02-06 23:00:00,724448810.0
2023-02-07 09:00:00,10593912730.0
2023-02-07 10:00:00,4759480020.0
2023-02-07 11:00:00,4861447000.0
2023-02-07 13:00:00,10303311950.0
2023-02-07 14:00:00,14133027030.0
2023-02-07 15:00:00,422581380.0
2023-02-07 21:00:00,12487035590.0
2023-02-07 22:00:00,6955467950.0
2023-02-07 23:00:00,189264660.0
2023-02-08 09:00:00,8755892890.0
2023-02-08 10:00:00,13242101210.0
2023-02-08 11:00:00,4976922280.0
2023-02-08 13:00:00,3898234390.0
2023-02-08 14:00:00,11114071350.0
2023-02-08 15:00:00,306533030.0
2023-02-08 21:00:00,8743524000.0
2023-02-08 22:00:00,5003164990.0
2023-02-08 23:00:00,213771970.0
2023-02-09 09:00:00,10642672170.0
2023-02-09 10:00:00,9138474250.0
2023-02-09 11:00:00,3732564390.0
2023-02-09 13:00:00,3260869510.0
2023-02-09 14:00:00,6038849330.0
2023-02-09 15:00:00,415486480.0
2023-02-09 21:00:00,6338588130.0
2023-02-09 22:00:00,10410086440.0
2023-02-09 23:00:00,214739690.0
2023-02-10 09:00:00,8557390510.0
2023-02-10 10:00:00,11939979450.0
2023-02-10 11:00:00,5105760140.0
2023-02-10 13:00:00,6323188620.0
2023-02-10 14:00:00,14972231910.0
2023-02-10 15:00:00,361971640.0
2023-02-10 21:00:00,9691400450.0
2023-02-10 22:00:00,4978148650.0
2023-02-10 23:00:00,248850380.0
2023-02-13 09:00:00,14753945120.0
2023-02-13 10:00:00,7723018310.0
2023-02-13 11:00:00,4681884010.0
2023-02-13 13:00:00,8833527780.0
2023-02-13 14:00:00,11013492640.0
2023-02-13 15:00:00,656797480.0
2023-02-13 21:00:00,10189919880.0
2023-02-13 22:00:00,13223959300.0
2023-02-13 23:00:00,387500260.0
2023-02-14 09:00:00,14900985420.0
2023-02-14 10:00:00,5492564080.0
2023-02-14 11:00:00,3384103900.0
2023-02-14 13:00:00,4990803720.0
2023-02-14 14:00:00,10341616090.0
2023-02-14 15:00:00,599608560.0
2023-02-14 21:00:00,14096743310.0
2023-02-14 22:00:00,6129233380.0
2023-02-14 23:00:00,351823360.0
2023-02-15 09:00:00,12669023370.0
2023-02-15 10:00:00,3998133690.0
2023-02-15 11:00:00,3018689340.0
2023-02-15 13:00:00,4262390780.0
2023-02-15 14:00:00,7459662020.0
2023-02-15 15:00:00,298874380.0
2023-02-15 21:00:00,9124649140.0
2023-02-15 22:00:00,5519451480.0
2023-02-15 23:00:00,229226070.0
2023-02-16 09:00:00,7954441750.0
2023-02-16 10:00:00,8960720210.0
2023-02-16 11:00:00,7779815120.0
2023-02-16 13:00:00,17068654040.0
2023-02-16 14:00:00,19979923250.0
2023-02-16 15:00:00,579681960.0
2023-02-16 21:00:00,11190433260.0
2023-02-16 22:00:00,4339662050.0
2023-02-16 23:00:00,270833130.0
2023-02-17 09:00:00,7726045100.0
2023-02-17 10:00:00,5006688890.0
2023-02-17 11:00:00,5620125290.0
2023-02-17 13:00:00,3315065620.0
2023-02-17 14:00:00,7561306650.0
2023-02-17 15:00:00,419901960.0
2023-02-17 21:00:00,14101188540.0
2023-02-17 22:00:00,9079386640.0
2023-02-17 23:00:00,376577200.0
2023-02-20 09:00:00,10649582430.0
2023-02-20 10:00:00,9146654580.0
2023-02-20 11:00:00,3008428450.0
2023-02-20 13:00:00,4668610610.0
2023-02-20 14:00:00,5480221960.0
2023-02-20 15:00:00,432865930.0
2023-02-20 21:00:00,18195246140.0
