,amount
2023-01-03 09:00:00,15954009760.0
2023-01-03 09:15:00,7009520370.0
2023-01-03 09:30:00,4995208170.0
2023-01-03 09:45:00,1810280910.0
2023-01-03 10:00:00,3252371020.0
2023-01-03 10:15:00,74613970.0
2023-01-03 10:30:00,1750668340.0
2023-01-03 10:45:00,1408063990.0
2023-01-03 11:00:00,1338041590.0
2023-01-03 11:15:00,1283848650.0
2023-01-03 11:30:00,220346780.0
2023-01-03 13:30:00,2977051190.0
2023-01-03 13:45:00,1424017890.0
2023-01-03 14:00:00,1324408800.0
2023-01-03 14:15:00,1879621060.0
2023-01-03 14:30:00,1497179360.0
2023-01-03 14:45:00,1920602440.0
2023-01-03 15:00:00,271031800.0
2023-01-03 21:00:00,4359641900.0
2023-01-03 21:15:00,2765559790.0
2023-01-03 21:30:00,1237144770.0
2023-01-03 21:45:00,1272948030.0
2023-01-03 22:00:00,753896330.0
2023-01-03 22:15:00,900043440.0
2023-01-03 22:30:00,849021930.0
2023-01-03 22:45:00,1089535520.0
2023-01-03 23:00:00,380732490.0
2023-01-04 09:00:00,2894186690.0
2023-01-04 09:15:00,4133561140.0
2023-01-04 09:30:00,3340298320.0
2023-01-04 09:45:00,1488248650.0
2023-01-04 10:00:00,1762185840.0
2023-01-04 10:15:00,109874020.0
2023-01-04 10:30:00,1348022600.0
2023-01-04 10:45:00,4821638420.0
2023-01-04 11:00:00,5103280350.0
2023-01-04 11:15:00,5470280980.0
2023-01-04 11:30:00,203643720.0
2023-01-04 13:30:00,3294252900.0
2023-01-04 13:45:00,1264262550.0
2023-01-04 14:00:00,2004413700.0
2023-01-04 14:15:00,1518075490.0
2023-01-04 14:30:00,1298800750.0
2023-01-04 14:45:00,1958423820.0
2023-01-04 15:00:00,320893720.0
2023-01-04 21:00:00,9790920770.0
2023-01-04 21:15:00,4066684960.0
2023-01-04 21:30:00,2682512510.0
2023-01-04 21:45:00,1380561890.0
2023-01-04 22:00:00,815109790.0
2023-01-04 22:15:00,856854910.0
2023-01-04 22:30:00,1923655670.0
2023-01-04 22:45:00,1766472790.0
2023-01-04 23:00:00,233585670.0
2023-01-05 09:00:00,6108949480.0
2023-01-05 09:15:00,3083919140.0
2023-01-05 09:30:00,2608824070.0
2023-01-05 09:45:00,2161416820.0
2023-01-05 10:00:00,1317310970.0
2023-01-05 10:15:00,46227440.0
2023-01-05 10:30:00,1035250140.0
2023-01-05 10:45:00,658547940.0
2023-01-05 11:00:00,1942476420.0
2023-01-05 11:15:00,2440292670.0
2023-01-05 11:30:00,452052690.0
2023-01-05 13:30:00,3579743430.0
2023-01-05 13:45:00,3619375770.0
2023-01-05 14:00:00,3022601260.0
2023-01-05 14:15:00,1667108870.0
2023-01-05 14:30:00,1340842320.0
2023-01-05 14:45:00,2061161790.0
2023-01-05 15:00:00,254692010.0
