,open_interest
2023-01-03 09:00:00,1909819.0
2023-01-03 09:05:00,1904295.0
2023-01-03 09:10:00,1904853.0
2023-01-03 09:15:00,1900769.0
2023-01-03 09:20:00,1904232.0
2023-01-03 09:25:00,1897426.0
2023-01-03 09:30:00,1887880.0
2023-01-03 09:35:00,1883692.0
2023-01-03 09:40:00,1882106.0
2023-01-03 09:45:00,1884168.0
2023-01-03 09:50:00,1884212.0
2023-01-03 09:55:00,1883870.0
2023-01-03 10:00:00,1883513.0
2023-01-03 10:05:00,1882954.0
2023-01-03 10:10:00,1885127.0
2023-01-03 10:15:00,1884839.0
2023-01-03 10:30:00,1885042.0
2023-01-03 10:35:00,1886295.0
2023-01-03 10:40:00,1883765.0
2023-01-03 10:45:00,1885259.0
2023-01-03 10:50:00,1885466.0
2023-01-03 10:55:00,1887159.0
2023-01-03 11:00:00,1887525.0
2023-01-03 11:05:00,1887574.0
2023-01-03 11:10:00,1888151.0
2023-01-03 11:15:00,1888090.0
2023-01-03 11:20:00,1889439.0
2023-01-03 11:25:00,1891007.0
2023-01-03 11:30:00,1890125.0
2023-01-03 13:30:00,1893462.0
2023-01-03 13:35:00,1893520.0
2023-01-03 13:40:00,1893636.0
2023-01-03 13:45:00,1894550.0
2023-01-03 13:50:00,1895076.0
2023-01-03 13:55:00,1895852.0
2023-01-03 14:00:00,1895791.0
2023-01-03 14:05:00,1895668.0
2023-01-03 14:10:00,1894494.0
2023-01-03 14:15:00,1894861.0
2023-01-03 14:20:00,1894396.0
2023-01-03 14:25:00,1893474.0
2023-01-03 14:30:00,1892215.0
2023-01-03 14:35:00,1890728.0
2023-01-03 14:40:00,1890649.0
2023-01-03 14:45:00,1890676.0
2023-01-03 14:50:00,1889402.0
2023-01-03 14:55:00,1886087.0
2023-01-03 15:00:00,1882723.0
2023-01-03 21:00:00,1876020.0
2023-01-03 21:05:00,1874767.0
2023-01-03 21:10:00,1874625.0
2023-01-03 21:15:00,1874514.0
2023-01-03 21:20:00,1876551.0
2023-01-03 21:25:00,1877606.0
2023-01-03 21:30:00,1877537.0
2023-01-03 21:35:00,1877541.0
2023-01-03 21:40:00,1878059.0
2023-01-03 21:45:00,1878001.0
2023-01-03 21:50:00,1877074.0
2023-01-03 21:55:00,1875027.0
2023-01-03 22:00:00,1875128.0
2023-01-03 22:05:00,1875032.0
2023-01-03 22:10:00,1875055.0
2023-01-03 22:15:00,1874209.0
2023-01-03 22:20:00,1873846.0
2023-01-03 22:25:00,1874401.0
2023-01-03 22:30:00,1876227.0
2023-01-03 22:35:00,1875575.0
2023-01-03 22:40:00,1874926.0
2023-01-03 22:45:00,1874721.0
2023-01-03 22:50:00,1873930.0
2023-01-03 22:55:00,1870789.0
2023-01-03 23:00:00,1869077.0
2023-01-04 09:00:00,1869724.0
2023-01-04 09:05:00,1870374.0
2023-01-04 09:10:00,1872527.0
2023-01-04 09:15:00,1872447.0
2023-01-04 09:20:00,1872852.0
2023-01-04 09:25:00,1870545.0
2023-01-04 09:30:00,1866179.0
2023-01-04 09:35:00,1865369.0
2023-01-04 09:40:00,1864055.0
2023-01-04 09:45:00,1864287.0
2023-01-04 09:50:00,1864971.0
2023-01-04 09:55:00,1865228.0
2023-01-04 10:00:00,1864867.0
2023-01-04 10:05:00,1863297.0
2023-01-04 10:10:00,1862316.0
2023-01-04 10:15:00,1861614.0
2023-01-04 10:30:00,1860533.0
2023-01-04 10:35:00,1861153.0
2023-01-04 10:40:00,1862111.0
2023-01-04 10:45:00,1864133.0
2023-01-04 10:50:00,1861865.0
2023-01-04 10:55:00,1860251.0
2023-01-04 11:00:00,1864082.0
2023-01-04 11:05:00,1865066.0
2023-01-04 11:10:00,1868879.0
2023-01-04 11:15:00,1875884.0
2023-01-04 11:20:00,1884456.0
2023-01-04 11:25:00,1886299.0
2023-01-04 11:30:00,1885371.0
2023-01-04 13:30:00,1885920.0
2023-01-04 13:35:00,1884576.0
2023-01-04 13:40:00,1884527.0
2023-01-04 13:45:00,1883281.0
2023-01-04 13:50:00,1884570.0
2023-01-04 13:55:00,1884579.0
2023-01-04 14:00:00,1884159.0
2023-01-04 14:05:00,1885522.0
2023-01-04 14:10:00,1885289.0
2023-01-04 14:15:00,1884197.0
2023-01-04 14:20:00,1885710.0
2023-01-04 14:25:00,1885343.0
2023-01-04 14:30:00,1883872.0
2023-01-04 14:35:00,1882071.0
2023-01-04 14:40:00,1882313.0
2023-01-04 14:45:00,1881742.0
2023-01-04 14:50:00,1880353.0
2023-01-04 14:55:00,1877436.0
2023-01-04 15:00:00,1874643.0
2023-01-04 21:00:00,1862949.0
2023-01-04 21:05:00,1862552.0
2023-01-04 21:10:00,1870507.0
2023-01-04 21:15:00,1867141.0
2023-01-04 21:20:00,1862881.0
2023-01-04 21:25:00,1862174.0
2023-01-04 21:30:00,1862176.0
