,vwap
2023-01-03 09:00:00,40560.0
2023-01-03 09:05:00,40349.022791270676
2023-01-03 09:10:00,40321.91183191492
2023-01-03 09:15:00,40240.6255510249
2023-01-03 09:20:00,40214.21570821213
2023-01-03 09:25:00,40241.70478368591
2023-01-03 09:30:00,40414.533975601415
2023-01-03 09:35:00,40436.17915904936
2023-01-03 09:40:00,40421.84312773191
2023-01-03 09:45:00,40381.583092675246
2023-01-03 09:50:00,40376.50908479139
2023-01-03 09:55:00,40401.05811186037
2023-01-03 10:00:00,40441.84110189686
2023-01-03 10:05:00,40516.282444510405
2023-01-03 10:10:00,40436.458749053876
2023-01-03 10:15:00,40441.176151761516
2023-01-03 10:30:00,40503.025281602
2023-01-03 10:35:00,40501.356058489335
2023-01-03 10:40:00,40475.82667731629
2023-01-03 10:45:00,40423.46417521082
2023-01-03 10:50:00,40411.57273215244
2023-01-03 10:55:00,40412.91208025638
2023-01-03 11:00:00,40398.338024103345
2023-01-03 11:05:00,40451.19881995351
2023-01-03 11:10:00,40431.26597989326
2023-01-03 11:15:00,40437.43800607287
2023-01-03 11:20:00,40452.98127451706
2023-01-03 11:25:00,40479.832331847254
2023-01-03 11:30:00,40519.81978668628
2023-01-03 13:30:00,40511.11327983807
2023-01-03 13:35:00,40504.03031790843
2023-01-03 13:40:00,40604.78107392573
2023-01-03 13:45:00,40613.742660384196
2023-01-03 13:50:00,40615.33468388621
2023-01-03 13:55:00,40587.88881816253
2023-01-03 14:00:00,40595.82656155246
2023-01-03 14:05:00,40601.47249381553
2023-01-03 14:10:00,40642.07107302627
2023-01-03 14:15:00,40657.541393025625
2023-01-03 14:20:00,40685.822322181615
2023-01-03 14:25:00,40706.49565365604
2023-01-03 14:30:00,40650.67843239035
2023-01-03 14:35:00,40638.29172278048
2023-01-03 14:40:00,40631.72243970198
2023-01-03 14:45:00,40592.96328400718
2023-01-03 14:50:00,40583.804023845005
2023-01-03 14:55:00,40599.12709292079
2023-01-03 15:00:00,40628.36156498276
2023-01-03 21:00:00,40650.56980853315
2023-01-03 21:05:00,40661.280840052954
2023-01-03 21:10:00,40679.49117080927
2023-01-03 21:15:00,40751.60499759731
2023-01-03 21:20:00,40787.647609359105
2023-01-03 21:25:00,40785.74987543598
2023-01-03 21:30:00,40808.343130339366
2023-01-03 21:35:00,40778.080371610675
2023-01-03 21:40:00,40778.11018886082
2023-01-03 21:45:00,40796.92102679198
2023-01-03 21:50:00,40765.22700604748
2023-01-03 21:55:00,40726.973512476005
2023-01-03 22:00:00,40762.50803063998
2023-01-03 22:05:00,40759.511071744906
2023-01-03 22:10:00,40739.052321916366
2023-01-03 22:15:00,40761.58803405203
2023-01-03 22:20:00,40773.82766439909
2023-01-03 22:25:00,40748.424147393176
2023-01-03 22:30:00,40726.020153862824
2023-01-03 22:35:00,40743.346206269875
2023-01-03 22:40:00,40744.59575648315
2023-01-03 22:45:00,40753.75559534467
2023-01-03 22:50:00,40752.3286908078
2023-01-03 22:55:00,40689.98610071635
2023-01-03 23:00:00,40633.13660618997
2023-01-04 09:00:00,40569.29720623333
2023-01-04 09:05:00,40645.305208898535
2023-01-04 09:10:00,40694.97966728281
2023-01-04 09:15:00,40614.452329678934
2023-01-04 09:20:00,40552.202437422464
2023-01-04 09:25:00,40460.514718095415
2023-01-04 09:30:00,40397.48650269946
2023-01-04 09:35:00,40459.30263746088
2023-01-04 09:40:00,40444.79170489998
2023-01-04 09:45:00,40425.59327217125
2023-01-04 09:50:00,40469.41508507854
2023-01-04 09:55:00,40527.86490156144
2023-01-04 10:00:00,40565.57493281491
2023-01-04 10:05:00,40592.636183446106
2023-01-04 10:10:00,40607.45552703779
2023-01-04 10:15:00,40588.851126708534
2023-01-04 10:30:00,40538.55834752981
2023-01-04 10:35:00,40521.45540387971
2023-01-04 10:40:00,40572.823317052455
2023-01-04 10:45:00,40595.57529875493
2023-01-04 10:50:00,40554.024894690905
2023-01-04 10:55:00,40388.22150576547
2023-01-04 11:00:00,40310.44662309368
2023-01-04 11:05:00,40347.60824391075
2023-01-04 11:10:00,40264.24958850815
2023-01-04 11:15:00,40236.4762222434
2023-01-04 11:20:00,40157.62266727356
2023-01-04 11:25:00,40180.1235835694
2023-01-04 11:30:00,40198.12870114489
2023-01-04 13:30:00,40176.72279106717
2023-01-04 13:35:00,40291.47258163894
2023-01-04 13:40:00,40263.40996890606
2023-01-04 13:45:00,40233.00636498387
2023-01-04 13:50:00,40216.571948366975
2023-01-04 13:55:00,40243.67839315427
2023-01-04 14:00:00,40194.59761004755
2023-01-04 14:05:00,40158.728001393974
2023-01-04 14:10:00,40217.107966779455
2023-01-04 14:15:00,40169.79142451246
2023-01-04 14:20:00,40179.41408214585
2023-01-04 14:25:00,40230.34565994014
2023-01-04 14:30:00,40193.469863469865
2023-01-04 14:35:00,40237.6771687527
2023-01-04 14:40:00,40238.09560458355
2023-01-04 14:45:00,40250.2213121896
2023-01-04 14:50:00,40263.87907725939
2023-01-04 14:55:00,40275.30690666397
2023-01-04 15:00:00,40267.75254109675
2023-01-04 21:00:00,40100.659530835794
2023-01-04 21:05:00,40078.06341117006
2023-01-04 21:10:00,39935.0935477869
2023-01-04 21:15:00,39979.05314706175
2023-01-04 21:20:00,40085.88866873728
2023-01-04 21:25:00,40126.89263650025
2023-01-04 21:30:00,40161.41299374714
2023-01-04 21:35:00,40119.021436823416
2023-01-04 21:40:00,40077.50333236743
2023-01-04 21:45:00,40110.70127277265
2023-01-04 21:50:00,40132.639679255044
2023-01-04 21:55:00,40109.05678085406
2023-01-04 22:00:00,40089.567979669635
2023-01-04 22:05:00,40100.26706700379
2023-01-04 22:10:00,40081.041756971536
2023-01-04 22:15:00,40117.43735625227
2023-01-04 22:20:00,40107.46960167715
2023-01-04 22:25:00,40068.60894591678
2023-01-04 22:30:00,40019.96046641642
2023-01-04 22:35:00,40038.074760674666
2023-01-04 22:40:00,40078.70364726202
2023-01-04 22:45:00,40051.577589912595
2023-01-04 22:50:00,40009.25386378762
2023-01-04 22:55:00,39974.123737480455
2023-01-04 23:00:00,39990.69851052902
2023-01-05 09:00:00,39961.313040272034
2023-01-05 09:05:00,39818.97768568045
2023-01-05 09:10:00,39812.274650389176
2023-01-05 09:15:00,39841.120848157785
2023-01-05 09:20:00,39887.369702873846
2023-01-05 09:25:00,39896.009898341355
2023-01-05 09:30:00,39870.38924274593
2023-01-05 09:35:00,39978.788449079075
2023-01-05 09:40:00,40039.736698295994
2023-01-05 09:45:00,40069.08730350665
2023-01-05 09:50:00,40067.77400169923
2023-01-05 09:55:00,40075.22990425295
2023-01-05 10:00:00,40105.39994140053
2023-01-05 10:05:00,40081.77572559367
2023-01-05 10:10:00,40049.17834121186
2023-01-05 10:15:00,40058.44020797227
2023-01-05 10:30:00,40075.53242930726
2023-01-05 10:35:00,40040.6889329806
2023-01-05 10:40:00,40088.57989797325
2023-01-05 10:45:00,40052.97967722654
2023-01-05 10:50:00,40063.73393539424
2023-01-05 10:55:00,40076.83550651956
2023-01-05 11:00:00,40021.718349564326
2023-01-05 11:05:00,40002.554935824206
2023-01-05 11:10:00,39954.62397699624
2023-01-05 11:15:00,39910.88673045327
2023-01-05 11:20:00,39906.27542441829
2023-01-05 11:25:00,39839.70164142559
2023-01-05 11:30:00,39789.86796936889
2023-01-05 13:30:00,39803.73115731353
2023-01-05 13:35:00,39939.11570906954
2023-01-05 13:40:00,40005.91133004926
2023-01-05 13:45:00,40015.733737357834
2023-01-05 13:50:00,40034.451543431445
2023-01-05 13:55:00,40123.539164900714
2023-01-05 14:00:00,40199.2233550377
2023-01-05 14:05:00,40173.87813279487
2023-01-05 14:10:00,40196.313806097976
2023-01-05 14:15:00,40190.746217162006
2023-01-05 14:20:00,40150.73649754501
2023-01-05 14:25:00,40164.2919123373
2023-01-05 14:30:00,40157.836332476436
2023-01-05 14:35:00,40113.00749364378
2023-01-05 14:40:00,40131.40744797371
2023-01-05 14:45:00,40084.85519491871
2023-01-05 14:50:00,40134.6450452476
2023-01-05 14:55:00,40170.015233684724
2023-01-05 15:00:00,40165.90600851601
2023-01-05 21:00:00,40405.45573172281
2023-01-05 21:05:00,40473.74912932436
2023-01-05 21:10:00,40465.76969152441
2023-01-05 21:15:00,40395.81295565006
2023-01-05 21:20:00,40388.6714919449
2023-01-05 21:25:00,40398.07113938693
2023-01-05 21:30:00,40395.67032649523
2023-01-05 21:35:00,40353.865821447434
2023-01-05 21:40:00,40315.22285593578
2023-01-05 21:45:00,40315.77182149874
2023-01-05 21:50:00,40346.38741635526
2023-01-05 21:55:00,40293.64616360178
2023-01-05 22:00:00,40265.90086106586
2023-01-05 22:05:00,40305.0897967239
2023-01-05 22:10:00,40312.72363150868
2023-01-05 22:15:00,40288.79016064257
2023-01-05 22:20:00,40310.02437043055
2023-01-05 22:25:00,40329.25650232069
2023-01-05 22:30:00,40387.40029172744
2023-01-05 22:35:00,40365.72187155596
2023-01-05 22:40:00,40308.10432262738
2023-01-05 22:45:00,40310.05652378709
2023-01-05 22:50:00,40326.92254654103
2023-01-05 22:55:00,40307.79872152106
2023-01-05 23:00:00,40323.42113276492
2023-01-06 09:00:00,40531.70688393189
2023-01-06 09:05:00,40554.137804291895
2023-01-06 09:10:00,40597.43753363573
2023-01-06 09:15:00,40606.671288468046
2023-01-06 09:20:00,40526.33501883799
2023-01-06 09:25:00,40493.635938231164
2023-01-06 09:30:00,40470.40748606318
2023-01-06 09:35:00,40440.641144338486
2023-01-06 09:40:00,40481.49905261624
2023-01-06 09:45:00,40525.53278964751
2023-01-06 09:50:00,40502.61640187345
2023-01-06 09:55:00,40515.50432924772
