,low
2023-01-03 09:00:00,4016.0
2023-01-03 10:00:00,4036.0
2023-01-03 11:00:00,4037.0
2023-01-03 13:00:00,4045.0
2023-01-03 14:00:00,4056.0
2023-01-03 15:00:00,4061.0
2023-01-03 21:00:00,4058.0
2023-01-03 22:00:00,4065.0
2023-01-03 23:00:00,4061.0
2023-01-04 09:00:00,4035.0
2023-01-04 10:00:00,4029.0
2023-01-04 11:00:00,4011.0
2023-01-04 13:00:00,4010.0
2023-01-04 14:00:00,4013.0
2023-01-04 15:00:00,4025.0
2023-01-04 21:00:00,3988.0
2023-01-04 22:00:00,3994.0
2023-01-04 23:00:00,3998.0
2023-01-05 09:00:00,3970.0
2023-01-05 10:00:00,4001.0
2023-01-05 11:00:00,3977.0
2023-01-05 13:00:00,3974.0
2023-01-05 14:00:00,4005.0
2023-01-05 15:00:00,4015.0
2023-01-05 21:00:00,4024.0
2023-01-05 22:00:00,4023.0
2023-01-05 23:00:00,4029.0
2023-01-06 09:00:00,4038.0
2023-01-06 10:00:00,4052.0
2023-01-06 11:00:00,4091.0
2023-01-06 13:00:00,4095.0
2023-01-06 14:00:00,4093.0
2023-01-06 15:00:00,4102.0
2023-01-06 21:00:00,4080.0
2023-01-06 22:00:00,4078.0
2023-01-06 23:00:00,4080.0
2023-01-09 09:00:00,4089.0
2023-01-09 10:00:00,4088.0
2023-01-09 11:00:00,4072.0
2023-01-09 13:00:00,4089.0
2023-01-09 14:00:00,4083.0
2023-01-09 15:00:00,4090.0
2023-01-09 21:00:00,4094.0
2023-01-09 22:00:00,4096.0
2023-01-09 23:00:00,4105.0
2023-01-10 09:00:00,4087.0
2023-01-10 10:00:00,4089.0
2023-01-10 11:00:00,4104.0
2023-01-10 13:00:00,4106.0
2023-01-10 14:00:00,4106.0
2023-01-10 15:00:00,4123.0
2023-01-10 21:00:00,4101.0
2023-01-10 22:00:00,4103.0
2023-01-10 23:00:00,4112.0
2023-01-11 09:00:00,4111.0
2023-01-11 10:00:00,4132.0
2023-01-11 11:00:00,4137.0
2023-01-11 13:00:00,4149.0
2023-01-11 14:00:00,4149.0
2023-01-11 15:00:00,4160.0
2023-01-11 21:00:00,4138.0
2023-01-11 22:00:00,4091.0
2023-01-11 23:00:00,4107.0
2023-01-12 09:00:00,4108.0
